,CASE_ID,StartTimestamp,Activity,Resource,CompleteTimestamp,StartDate
1445,IM0000080,04.04.2013 10:33,Open,TEAM0036,04.04.2013 15:16,04.04.2013
1446,IM0000080,04.04.2013 15:16,Operator Update,TEAM0027,04.04.2013 15:23,04.04.2013
1447,IM0000080,04.04.2013 15:23,Reassignment,TEAM0027,04.04.2013 15:23,04.04.2013
1448,IM0000080,04.04.2013 15:23,Operator Update,TEAM0027,10.04.2013 08:51,04.04.2013
1449,IM0000080,10.04.2013 08:51,Operator Update,TEAM0036,10.04.2013 08:52,10.04.2013
1450,IM0000080,10.04.2013 08:52,Reassignment,TEAM0036,11.04.2013 07:21,10.04.2013
1451,IM0000080,11.04.2013 07:21,Reassignment,TEAM0027,11.04.2013 07:21,11.04.2013
1452,IM0000080,11.04.2013 07:21,Operator Update,TEAM0027,16.04.2013 07:47,11.04.2013
1453,IM0000080,16.04.2013 07:47,Operator Update,TEAM0036,16.04.2013 07:47,16.04.2013
1454,IM0000080,16.04.2013 07:47,Reassignment,TEAM0036,16.04.2013 08:42,16.04.2013
1455,IM0000080,16.04.2013 08:42,Update,TEAM0027,16.04.2013 08:42,16.04.2013
1456,IM0000080,16.04.2013 08:42,Reassignment,TEAM0027,16.04.2013 09:02,16.04.2013
1457,IM0000080,16.04.2013 09:02,Assignment,TEAM0015,16.04.2013 09:02,16.04.2013
1458,IM0000080,16.04.2013 09:02,Status Change,TEAM0015,16.04.2013 12:40,16.04.2013
1459,IM0000080,16.04.2013 12:40,Operator Update,TEAM0015,16.04.2013 12:40,16.04.2013
1460,IM0000080,16.04.2013 12:40,Assignment,TEAM0015,16.04.2013 12:40,16.04.2013
1461,IM0000080,16.04.2013 12:40,Reassignment,TEAM0015,16.04.2013 13:35,16.04.2013
1462,IM0000080,16.04.2013 13:35,Reassignment,TEAM0027,16.04.2013 13:35,16.04.2013
1463,IM0000080,16.04.2013 13:35,Operator Update,TEAM0027,16.04.2013 13:44,16.04.2013
1464,IM0000080,16.04.2013 13:44,Assignment,TEAM0015,26.04.2013 11:18,16.04.2013
1465,IM0000080,26.04.2013 11:18,Operator Update,TEAM0015,26.04.2013 11:18,26.04.2013
1466,IM0000080,26.04.2013 11:18,Assignment,TEAM0015,26.04.2013 11:18,26.04.2013
1467,IM0000080,26.04.2013 11:18,Reassignment,TEAM0015,29.04.2013 13:05,26.04.2013
1468,IM0000080,29.04.2013 13:05,Reassignment,TEAM0027,29.04.2013 13:05,29.04.2013
1469,IM0000080,29.04.2013 13:05,Operator Update,TEAM0027,29.04.2013 13:10,29.04.2013
1470,IM0000080,29.04.2013 13:10,Assignment,TEAM0015,10.05.2013 10:08,29.04.2013
1471,IM0000080,10.05.2013 10:08,Assignment,TEAM0015,10.05.2013 10:08,10.05.2013
1472,IM0000080,10.05.2013 10:08,Reassignment,TEAM0015,10.05.2013 10:08,10.05.2013
1473,IM0000080,10.05.2013 10:08,Operator Update,TEAM0015,13.05.2013 10:12,10.05.2013
1474,IM0000080,13.05.2013 10:12,Assignment,TEAM0015,13.05.2013 12:56,13.05.2013
1475,IM0000080,13.05.2013 12:56,Reassignment,TEAM0027,13.05.2013 12:56,13.05.2013
1476,IM0000080,13.05.2013 12:56,Assignment,TEAM0027,13.05.2013 12:56,13.05.2013
1477,IM0000080,13.05.2013 12:56,Operator Update,TEAM0027,16.05.2013 12:18,13.05.2013
